DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-20T00:00:00Z,WC,4,WC4,SAPL,25,275,250,190,180,willow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,55,30,65,65,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,25,10,50,45,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,55,15,55,45,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,40,95,85,210,205,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,50,55,20,175,165,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,50,65,30,160,150,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,10,40,30,100,90,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,100,120,90,210,200,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,5,85,80,250,230,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,100,85,65,245,240,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,100,50,40,210,200,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,100,40,165,295,285,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,95,90,35,270,265,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,95,70,45,255,250,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,90,40,15,230,225,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,80,55,165,155,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,140,130,155,150,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,175,160,200,175,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,5,60,50,95,85,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,10,75,65,170,150,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,10,60,50,175,165,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,5,70,65,190,180,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,50,30,85,70,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,45,40,105,100,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,90,100,100,195,180,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,150,75,145,140,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,120,95,185,170,willow
